name,scraped_at,url
Téléphone & Tablette,2025-12-03T13:45:33.133110,https://www.jumia.ma/telephone-tablette/
TV & HIGH TECH,2025-12-03T13:45:33.133144,https://www.jumia.ma/electronique/
Informatique,2025-12-03T13:45:33.133152,https://www.jumia.ma/ordinateurs-accessoires-informatique/
"Maison, cuisine & bureau",2025-12-03T13:45:33.133158,https://www.jumia.ma/maison-cuisine-jardin/
Électroménager,2025-12-03T13:45:33.133166,https://www.jumia.ma/mlp-electromenager/
Vêtements & Chaussures,2025-12-03T13:45:33.133173,https://www.jumia.ma/fashion-mode/
Beauté & Santé,2025-12-03T13:45:33.133179,https://www.jumia.ma/beaute-hygiene-sante/
Jeux vidéos & Consoles,2025-12-03T13:45:33.133185,https://www.jumia.ma/jeux-videos-consoles/
Supermarché,2025-12-03T13:45:33.133191,https://www.jumia.ma/epicerie/
Sports & Loisirs,2025-12-03T13:45:33.133197,https://www.jumia.ma/sports-loisirs/
Bébé & Jouets,2025-12-03T13:45:33.133204,https://www.jumia.ma/bebe-puericulture/
