brand,category,category_2,category_3,current_price,discount,image_url,is_official_store,name,old_price,rating,review_count,scraped_at,sku,source,url
Itel,Phones & Tablets,Accessories,Bluetooth Headsets,49.00 Dhs,59%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel Ecouteurs Buds Neo - Black,119.00 Dhs,4.4,64,2025-12-03T13:45:36.716057,,jumia.ma,https://www.jumia.ma/itel-ecouteurs-buds-neo-black-66411188.html
XIAOMI,Phones & Tablets,Accessories,Batteries & Battery Packs,189.00 Dhs,46%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI 20000Mah Redmi 18W Fast Charge Power Bank (Black),349.00 Dhs,4.4,290,2025-12-03T13:45:36.716756,,jumia.ma,https://www.jumia.ma/xiaomi-20000mah-redmi-18w-fast-charge-power-bank-black-48931123.html
Itel,Phones & Tablets,Accessories,Bluetooth Headsets,49.00 Dhs,59%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel Ecouteurs Buds Neo – White,119.00 Dhs,4.2,31,2025-12-03T13:45:36.717500,,jumia.ma,https://www.jumia.ma/itel-ecouteurs-buds-neo-white-66411189.html
XIAOMI,Phones & Tablets,Accessories,Bluetooth Headsets,99.00 Dhs,23%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,XIAOMI Redmi Buds 6 Play (White),129.00 Dhs,4.4,197,2025-12-03T13:45:36.718172,,jumia.ma,https://www.jumia.ma/xiaomi-redmi-buds-6-play-white-65760032.html
Itel,Phones & Tablets,Mobile Phones,Smartphones,949.00 Dhs,41%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Itel P65 - Double SIM Cyber Gris - 4 Go RAM - 128 Go ROM - 4G + BUDS Néo gratuit,"1,599.00 Dhs",4.4,14,2025-12-03T13:45:36.718806,,jumia.ma,https://www.jumia.ma/itel-p65-double-sim-cyber-gris-4-go-ram-128-go-rom-4g-buds-neo-gratuit-67132078.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,229.00 Dhs",18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Noir - 2 ans de garantie","1,490.00 Dhs",4.2,85,2025-12-03T13:45:36.719459,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-noir-2-ans-de-garantie-66285424.html
Samsung,Phones & Tablets,Accessories,Wired Headsets,89.00 Dhs,50%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Écouteurs USB Type-C Earphones – Noir 12 mois de garantie,178.00 Dhs,4.4,96,2025-12-03T13:45:36.720185,,jumia.ma,https://www.jumia.ma/samsung-ecouteurs-usb-type-c-earphones-noir-12-mois-de-garantie-65712754.html
Samsung,Phones & Tablets,Accessories,Batteries & Battery Packs,239.00 Dhs,11%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Batterie externe 10 000 mAh sans fil,269.00 Dhs,4.7,18,2025-12-03T13:45:36.720824,,jumia.ma,https://www.jumia.ma/samsung-batterie-externe-10-000-mah-sans-fil-65981488.html
Samsung,Phones & Tablets,Mobile Phones,Smartphones,"1,229.00 Dhs",18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,"Samsung Galaxy A06 - 6,7"" - 128 Go - 6 Go RAM – Light Blue - 2 ans de garantie","1,490.00 Dhs",4.2,44,2025-12-03T13:45:36.721522,,jumia.ma,https://www.jumia.ma/samsung-galaxy-a06-67-128-go-6-go-ram-light-blue-2-ans-de-garantie-66285423.html
Honor,Phones & Tablets,Mobile Phones,Smartphones,899.00 Dhs,18%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Honor Play10 - 64 Go - 3 Go RAM – Starry Purple,"1,099.00 Dhs",,,2025-12-03T13:45:36.722240,,jumia.ma,https://www.jumia.ma/honor-play10-64-go-3-go-ram-starry-purple-67270889.html
Samsung,Phones & Tablets,Accessories,Bluetooth Headsets,399.00 Dhs,20%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",True,Samsung Galaxy buds core - Noir,499.00 Dhs,4,4,2025-12-03T13:45:36.722853,,jumia.ma,https://www.jumia.ma/samsung-galaxy-buds-core-noir-67313954.html
Oraimo,Phones & Tablets,Accessories,Bluetooth Headsets,159.00 Dhs,47%,"data:image/svg+xml,%3Csvg xmlns='http://www.w3.org/2000/svg' width='1' height='1'/%3E",False,Oraimo FreePods Neo ENC True Wireless Earbuds 50 Hour Long Playtime,299.00 Dhs,4.3,45,2025-12-03T13:45:36.723520,,jumia.ma,https://www.jumia.ma/oraimo-freepods-neo-enc-true-wireless-earbuds-50-hour-long-playtime-65690873.html
