category,product_count,avg_price,min_price,max_price,median_price,avg_discount,avg_rating,total_reviews,official_stores
Home & Office,200,393.92,13.0,2970.0,222.5,40.72,4.12,10651.0,126
Computing,101,314.01,21.0,2999.0,130.55,47.65,4.31,4916.0,26
Electronics,100,1033.59,27.0,6172.0,465.0,41.37,4.12,3040.0,26
Baby Products,100,165.88,37.99,775.0,119.0,34.44,4.18,925.0,18
Health & Beauty,100,119.88,16.2,427.0,97.0,32.23,4.25,12409.0,60
Fashion,100,357.75,45.0,654.0,379.0,39.83,4.38,5136.0,92
Grocery,100,68.84,5.4,381.6,36.0,18.07,4.53,300.0,63
Gaming,100,790.68,25.0,7799.0,325.5,36.97,4.08,578.0,1
Phones & Tablets,99,644.97,35.0,3999.0,214.0,37.16,4.12,2445.0,57
Sporting Goods,98,193.96,28.99,3799.0,99.0,42.48,4.0,1342.0,5
Automobile,1,44.9,44.9,44.9,44.9,77.0,4.0,10.0,0
Garden & Outdoors,1,97.0,97.0,97.0,97.0,19.0,3.7,3.0,0
